@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
509,'2019/09/19 10:18:46:717',6,-8947336,-8092540,-11909309,-12174288,-8293524,-6259088,-6067367,-5215152,-5479351,-6465471,-8881797,-7829624,-10598590,-7057596,-5479078,-5870242,-6326415,-4485502,-4293012,-5473170,-8486265,-7500399,-7698038,-7961468,-7106672,-7502718,-7433575,-5790039,-5526866,-5657682,-8683127,-7763313,-7303019,-7171435,-7698808,-8029830,-7040367,-5921366,-5658449,-5789009,-9011833,-8223348,-7828849,-7631986,-8356994,-8555146,-6907746,-6250331,-6052950,-6183766,-9801095,-9078400,-8552571,-8355452,-8751239,-8554116,-7367525,-6776676,-6579296,-6644063,-9472386,-8749177,-8617592,-8420214,-8618366,-8225152,-7367524,-7565418,-7565418,-7498600,-9339513,-8222578,-7762799,-7829109,-8817547,-8026229,-6907232,-6447454,-6512990,-6643807,-9536121,-8287858,-7696749,-7763060,-8620169,-7894128,-6709855,-6249818,-6250074,-6445915,-9864319,-8812404,-8024174,-8025463,-8816524,-8418160,-6972001,-6446430,-6446429,-6510941,0.2,?
510,'2019/09/19 10:18:46:749',6,-8947336,-8092284,-11843775,-12174289,-8424596,-6259089,-6067368,-5214639,-5545400,-6465469,-8816005,-7829624,-10336189,-7057339,-5545128,-5870242,-6391949,-4354688,-4555414,-5407635,-8551800,-7500399,-7698038,-7961468,-7106416,-7437438,-7433575,-5790039,-5592402,-5723218,-8617591,-7763312,-7368555,-7171435,-7698808,-8029830,-7040367,-5921366,-5723985,-5789009,-9077369,-8157812,-7763314,-7631986,-8356995,-8555145,-6907745,-6250330,-6052951,-6183766,-9866630,-9143935,-8552315,-8420987,-8816775,-8554116,-7367524,-6842212,-6579296,-6644063,-9472385,-8814713,-8617592,-8485750,-8618366,-8225152,-7367268,-7630954,-7565418,-7498599,-9339258,-8288115,-7762799,-7894646,-8817291,-8026229,-6907232,-6447454,-6512990,-6643806,-9536122,-8287858,-7696749,-7763316,-8620169,-7894384,-6709855,-6249819,-6315355,-6380380,-9995390,-8812404,-8024175,-8090999,-8750988,-8418160,-6906466,-6446430,-6511709,-6510940,0.2,?
511,'2019/09/19 10:18:46:782',6,-8947335,-8092540,-11843775,-11977681,-8163226,-6129303,-5872305,-5280689,-5611191,-6399418,-8816261,-7763832,-10139324,-7123131,-5740964,-6000285,-6521222,-4222330,-4685711,-5406604,-8420985,-7434607,-7698293,-7961468,-7106672,-7437182,-7368039,-5790039,-5526866,-5657682,-8748663,-7763312,-7368555,-7171435,-7698809,-8029831,-6974831,-5921366,-5658449,-5789009,-9077370,-8223348,-7763314,-7631986,-8356994,-8555146,-6907745,-6250331,-6052950,-6183766,-9735814,-9078399,-8552571,-8355452,-8816776,-8554117,-7367781,-6842212,-6579296,-6644319,-9472386,-8814456,-8617336,-8485750,-8683646,-8225152,-7367268,-7565418,-7500138,-7433063,-9339257,-8288115,-7762799,-7829365,-8752011,-8026229,-6907233,-6447198,-6512990,-6643807,-9470586,-8353393,-7696749,-7697524,-8619913,-7894128,-6710110,-6184282,-6315611,-6380379,-9864319,-8877940,-8024174,-8091255,-8816524,-8418161,-6906465,-6511966,-6511710,-6510940,0.2,?
512,'2019/09/19 10:18:46:815',6,-8947335,-8092540,-11843775,-11977681,-8163226,-6129303,-5872305,-5280689,-5611191,-6399418,-8816261,-7763832,-10139324,-7123131,-5740964,-6000285,-6521222,-4222330,-4685711,-5406604,-8420985,-7434607,-7698293,-7961468,-7106672,-7437182,-7368039,-5790039,-5526866,-5657682,-8748663,-7763312,-7368555,-7171435,-7698809,-8029831,-6974831,-5921366,-5658449,-5789009,-9077370,-8223348,-7763314,-7631986,-8356994,-8555146,-6907745,-6250331,-6052950,-6183766,-9735814,-9078399,-8552571,-8355452,-8816776,-8554117,-7367781,-6842212,-6579296,-6644319,-9472386,-8814456,-8617336,-8485750,-8683646,-8225152,-7367268,-7565418,-7500138,-7433063,-9339257,-8288115,-7762799,-7829365,-8752011,-8026229,-6907233,-6447198,-6512990,-6643807,-9470586,-8353393,-7696749,-7697524,-8619913,-7894128,-6710110,-6184282,-6315611,-6380379,-9864319,-8877940,-8024174,-8091255,-8816524,-8418161,-6906465,-6511966,-6511710,-6510940,0.2,?
513,'2019/09/19 10:18:46:849',6,-8947080,-8092284,-11712701,-11255757,-7771552,-6000033,-5742778,-5346735,-5676722,-6202297,-8816261,-7764088,-10204861,-7976125,-6001307,-6195092,-6650748,-4286324,-4684425,-5404547,-8486265,-7500400,-7698294,-7961468,-7106416,-7502718,-7433575,-5790040,-5592402,-5657682,-8683127,-7697521,-7303020,-7171435,-7698809,-8095367,-7040367,-5921366,-5723985,-5789009,-9077369,-8157812,-7763313,-7631986,-8356994,-8489610,-6973281,-6250331,-6052950,-6183766,-9801351,-9078400,-8552572,-8355452,-8751239,-8619652,-7433061,-6776676,-6579296,-6644063,-9537922,-8749176,-8617592,-8485750,-8618110,-8224896,-7367268,-7630954,-7565418,-7433319,-9404793,-8288115,-7762799,-7894645,-8882827,-8026229,-6907232,-6447454,-6512990,-6643807,-9470586,-8353393,-7696749,-7763316,-8620169,-7959664,-6710111,-6184282,-6250075,-6380379,-9799039,-8812404,-8089454,-8091255,-8882060,-8418160,-6906466,-6511965,-6446173,-6510940,0.2,?
514,'2019/09/19 10:18:46:882',6,-8947080,-8092284,-11712701,-11255757,-7771552,-6000033,-5742778,-5346735,-5676722,-6202297,-8816261,-7764088,-10204861,-7976125,-6001307,-6195092,-6650748,-4286324,-4684425,-5404547,-8486265,-7500400,-7698294,-7961468,-7106416,-7502718,-7433575,-5790040,-5592402,-5657682,-8683127,-7697521,-7303020,-7171435,-7698809,-8095367,-7040367,-5921366,-5723985,-5789009,-9077369,-8157812,-7763313,-7631986,-8356994,-8489610,-6973281,-6250331,-6052950,-6183766,-9801351,-9078400,-8552572,-8355452,-8751239,-8619652,-7433061,-6776676,-6579296,-6644063,-9537922,-8749176,-8617592,-8485750,-8618110,-8224896,-7367268,-7630954,-7565418,-7433319,-9404793,-8288115,-7762799,-7894645,-8882827,-8026229,-6907232,-6447454,-6512990,-6643807,-9470586,-8353393,-7696749,-7763316,-8620169,-7959664,-6710111,-6184282,-6250075,-6380379,-9799039,-8812404,-8089454,-8091255,-8882060,-8418160,-6906466,-6511965,-6446173,-6510940,0.2,?
515,'2019/09/19 10:18:46:915',6,-8881799,-8026748,-11450044,-10402762,-7445159,-5804969,-5677242,-5412269,-5741488,-6201525,-8816005,-7829624,-10729920,-8894657,-6327189,-6325133,-6912119,-4350572,-4682883,-5402747,-8551801,-7434608,-7698038,-7961468,-7106416,-7437182,-7433575,-5790039,-5526866,-5657682,-8683128,-7763057,-7368556,-7171435,-7698809,-8095367,-6974831,-5921366,-5658449,-5723473,-9077369,-8223349,-7828850,-7631986,-8356994,-8555145,-6907745,-6250330,-6052950,-6183766,-9735559,-9078400,-8618107,-8420988,-8816775,-8554116,-7367781,-6776676,-6579295,-6644063,-9472387,-8748921,-8683128,-8485750,-8618366,-8159616,-7367268,-7630954,-7565418,-7433319,-9339512,-8222579,-7762800,-7829109,-8817291,-8026229,-6907232,-6447198,-6512990,-6643807,-9536123,-8287857,-7631213,-7763316,-8620169,-7894384,-6710111,-6184282,-6250075,-6380379,-9864319,-8943476,-8024175,-8025719,-8816524,-8352624,-6972001,-6511710,-6446173,-6510940,0.2,?
516,'2019/09/19 10:18:46:949',6,-8881799,-8026748,-11450044,-10402762,-7445159,-5804969,-5677242,-5412269,-5741488,-6201525,-8816005,-7829624,-10729920,-8894657,-6327189,-6325133,-6912119,-4350572,-4682883,-5402747,-8551801,-7434608,-7698038,-7961468,-7106416,-7437182,-7433575,-5790039,-5526866,-5657682,-8683128,-7763057,-7368556,-7171435,-7698809,-8095367,-6974831,-5921366,-5658449,-5723473,-9077369,-8223349,-7828850,-7631986,-8356994,-8555145,-6907745,-6250330,-6052950,-6183766,-9735559,-9078400,-8618107,-8420988,-8816775,-8554116,-7367781,-6776676,-6579295,-6644063,-9472387,-8748921,-8683128,-8485750,-8618366,-8159616,-7367268,-7630954,-7565418,-7433319,-9339512,-8222579,-7762800,-7829109,-8817291,-8026229,-6907232,-6447198,-6512990,-6643807,-9536123,-8287857,-7631213,-7763316,-8620169,-7894384,-6710111,-6184282,-6250075,-6380379,-9864319,-8943476,-8024175,-8025719,-8816524,-8352624,-6972001,-6511710,-6446173,-6510940,0.2,?
517,'2019/09/19 10:18:46:983',6,-8947335,-8092540,-11056058,-9549767,-7052715,-5674669,-5742777,-5477546,-5675181,-6004145,-8816005,-7829624,-11189698,-9616581,-6654097,-6455690,-7042161,-4480613,-4681852,-5400946,-8486265,-7500399,-7698038,-7961468,-7106416,-7502719,-7433575,-5790039,-5526866,-5657682,-8683127,-7763057,-7368556,-7171435,-7698808,-8029830,-7040366,-5921366,-5658449,-5789009,-9077370,-8157812,-7763313,-7631986,-8356994,-8555145,-6907746,-6250330,-6052950,-6183766,-9801350,-9013119,-8552572,-8420988,-8816776,-8488580,-7302245,-6842212,-6579296,-6644063,-9537666,-8814712,-8617336,-8420214,-8618110,-8225152,-7367268,-7630954,-7500138,-7498600,-9404793,-8288114,-7762799,-7829109,-8817291,-8026229,-6907233,-6512734,-6512990,-6709343,-9601657,-8287857,-7762285,-7763060,-8620169,-7894384,-6710111,-6184283,-6315611,-6380379,-9995135,-8877940,-8155246,-8090999,-8816523,-8352624,-6906465,-6511966,-6446173,-6510941,0.2,?
518,'2019/09/19 10:18:47:016',6,-8947335,-8092285,-10596536,-8893637,-6594477,-5609391,-5808310,-5345446,-5477802,-5872046,-8816005,-7829624,-11714756,-10338504,-6915981,-6717320,-7171947,-4676450,-4811381,-5399401,-8486264,-7500400,-7698038,-7961468,-7106416,-7502718,-7433575,-5790039,-5526866,-5657682,-8683127,-7763057,-7368556,-7171435,-7698809,-8029830,-6974830,-5921366,-5658449,-5789009,-9077370,-8157813,-7763313,-7631986,-8356994,-8489609,-6973281,-6250330,-6052950,-6183766,-9801094,-9078656,-8552571,-8355451,-8751239,-8619652,-7367781,-6776676,-6579296,-6578526,-9472386,-8749177,-8617592,-8420214,-8618110,-8290688,-7367267,-7565418,-7565418,-7498599,-9339256,-8288114,-7762799,-7829109,-8817291,-8026229,-6907233,-6447453,-6512990,-6709343,-9536122,-8287857,-7696749,-7763060,-8554633,-7959665,-6709855,-6184282,-6249819,-6380379,-9864319,-8746869,-8024174,-8090999,-8816780,-8418160,-6972001,-6446430,-6446429,-6510940,0.2,?
